,i,name,SMILES
119,119,CH3(18) + O2(2) <=> CH2O(9) + OH(15),[CH3]+[O][O]_C=O+[OH]
120,120,H2O(8) + CH(3) <=> CH2O(9) + H(14),O+[CH]_C=O+[H]
121,121,CH2CHO(21) + O2(2) => CH2O(9) + CO(6) + OH(15),[CH2]C=O+[O][O]_C=O+[C-]#[O+]+[OH]
122,122,CH2O(9) + CH(3) <=> CH2CO(24) + H(14),C=O+[CH]_C=C=O+[H]
123,123,C2H3(22) + O2(2) <=> CH2O(9) + HCO(19),[CH]=C+[O][O]_C=O+[CH]=O
124,124,C2H3(22) + O2(2) <=> CH2O(9) + CO(6) + H(14),[CH]=C+[O][O]_C=O+[C-]#[O+]+[H]
125,125,CH2(23) + OH(15) <=> CH2O(9) + H(14),[CH2]+[OH]_C=O+[H]
126,126,CH2(23) + HO2(16) <=> CH2O(9) + OH(15),[CH2]+[O]O_C=O+[OH]
127,127,CH2(23) + O2(2) <=> CH2O(9) + O(5),[CH2]+[O][O]_C=O+[O]
128,128,CH2O(9) + CH2(23) <=> CH3(18) + HCO(19),C=O+[CH2]_[CH3]+[CH]=O
129,129,CH2O(9) + C2H(4) <=> C2H2(25) + HCO(19),C=O+[C]#C_C#C+[CH]=O
130,130,CH2CO(24) + O(5) <=> CH2O(9) + CO(6),C=C=O+[O]_C=O+[C-]#[O+]
131,131,CO2(7) + CH2(23) <=> CH2O(9) + CO(6),O=C=O+[CH2]_C=O+[C-]#[O+]
132,132,CH3(18) + HCO(19) <=> CH4(10) + CO(6),[CH3]+[CH]=O_C+[C-]#[O+]
133,133,CH2O(9) + CH3(18) <=> CH4(10) + HCO(19),C=O+[CH3]_C+[CH]=O
134,134,CH3(18) + H(14) <=> CH4(10),[CH3]+[H]_C
135,135,CH4(10) + OH(15) <=> H2O(8) + CH3(18),C+[OH]_O+[CH3]
136,136,CH4(10) + O(5) <=> CH3(18) + OH(15),C+[O]_[CH3]+[OH]
137,137,CH4(10) + HO2(16) <=> H2O2(17) + CH3(18),C+[O]O_OO+[CH3]
138,138,CH4(10) + CH2(23) <=> CH3(18) + CH3(18),C+[CH2]_[CH3]+[CH3]
139,139,CH3(18) + HO2(16) <=> CH4(10) + O2(2),[CH3]+[O]O_C+[O][O]
140,140,CH3CO(20) + CH3(18) <=> CH4(10) + CH2CO(24),C[C]=O+[CH3]_C+C=C=O
141,141,CH3(18) + C2H3(22) <=> CH4(10) + C2H2(25),[CH3]+[CH]=C_C+C#C
142,142,CH4(10) + C2H(4) <=> C2H2(25) + CH3(18),C+[C]#C_C#C+[CH3]
143,143,C2H3(22) + H(14) <=> C2H4(11),[CH]=C+[H]_C=C
144,144,C2H4(11) + OH(15) <=> H2O(8) + C2H3(22),C=C+[OH]_O+[CH]=C
145,145,C2H4(11) + OH(15) <=> CH2O(9) + CH3(18),C=C+[OH]_C=O+[CH3]
146,146,C2H4(11) + O2(2) <=> C2H3(22) + HO2(16),C=C+[O][O]_[CH]=C+[O]O
147,147,CH4(10) + CH(3) <=> C2H4(11) + H(14),C+[CH]_C=C+[H]
148,148,C2H3(22) + C2H3(22) <=> C2H2(25) + C2H4(11),[CH]=C+[CH]=C_C#C+C=C
149,149,C2H4(11) + CH3(18) <=> CH4(10) + C2H3(22),C=C+[CH3]_C+[CH]=C
150,150,CH2O(9) + C2H3(22) <=> C2H4(11) + HCO(19),C=O+[CH]=C_C=C+[CH]=O
151,151,CH2(23) + CH3(18) <=> C2H4(11) + H(14),[CH2]+[CH3]_C=C+[H]
152,152,CH3(18) + C2H3(22) <=> C3H6(12),[CH3]+[CH]=C_C=CC
153,153,C3H6(12) <=> CH3(18) + C2H3(22),C=CC_[CH3]+[CH]=C
154,154,C3H6(12) + O(5) => CH2CO(24) + CH3(18) + H(14),C=CC+[O]_C=C=O+[CH3]+[H]
155,155,C3H6(12) + H(14) <=> C2H4(11) + CH3(18),C=CC+[H]_C=C+[CH3]
156,156,HCO(19) + H(14) <=> CO(6) + H2(13),[CH]=O+[H]_[C-]#[O+]+[H][H]
157,157,HCO(19) + HCO(19) => CO(6) + CO(6) + H2(13),[CH]=O+[CH]=O_[C-]#[O+]+[C-]#[O+]+[H][H]
158,158,CO(6) + H2(13) <=> CH2O(9),[C-]#[O+]+[H][H]_C=O
159,159,CH2O(9) + H(14) <=> HCO(19) + H2(13),C=O+[H]_[CH]=O+[H][H]
160,160,CH4(10) + H(14) <=> CH3(18) + H2(13),C+[H]_[CH3]+[H][H]
161,161,CH3(18) + OH(15) <=> CH2O(9) + H2(13),[CH3]+[OH]_C=O+[H][H]
162,162,CH3CO(20) + H(14) <=> CH2CO(24) + H2(13),C[C]=O+[H]_C=C=O+[H][H]
163,163,C2H4(11) + H(14) <=> C2H3(22) + H2(13),C=C+[H]_[CH]=C+[H][H]
164,164,C2H3(22) + H(14) <=> C2H2(25) + H2(13),[CH]=C+[H]_C#C+[H][H]
165,165,C2H(4) + H2(13) <=> C2H2(25) + H(14),[C]#C+[H][H]_C#C+[H]
166,166,CH(3) + H2(13) <=> CH2(23) + H(14),[CH]+[H][H]_[CH2]+[H]
167,167,CH(3) + H2(13) <=> CH3(18),[CH]+[H][H]_[CH3]
168,168,CH2(23) + H2(13) <=> CH3(18) + H(14),[CH2]+[H][H]_[CH3]+[H]
169,169,CH2(23) + O2(2) <=> CO2(7) + H2(13),[CH2]+[O][O]_O=C=O+[H][H]
170,170,CH3(18) + O(5) <=> CO(6) + H(14) + H2(13),[CH3]+[O]_[C-]#[O+]+[H]+[H][H]
171,171,CH2CHO(21) + H(14) <=> CH2CO(24) + H2(13),[CH2]C=O+[H]_C=C=O+[H][H]
172,172,CH2(23) + O(5) <=> CO(6) + H2(13),[CH2]+[O]_[C-]#[O+]+[H][H]
173,173,CH2(23) + CH2(23) <=> C2H2(25) + H2(13),[CH2]+[CH2]_C#C+[H][H]
174,174,C2H4(11) <=> C2H2(25) + H2(13),C=C_C#C+[H][H]
175,175,C2H4(11) + H(14) <=> C2H5(43),C=C+[H]_C[CH2]
176,176,C2H4(11) + C2H4(11) <=> C2H5(43) + C2H3(22),C=C+C=C_C[CH2]+[CH]=C
177,177,C2H5(43) + CH3(18) <=> CH4(10) + C2H4(11),C[CH2]+[CH3]_C+C=C
178,178,CH3(18) + CH3(18) <=> C2H5(43) + H(14),[CH3]+[CH3]_C[CH2]+[H]
179,179,C2H5(43) + H(14) <=> C2H4(11) + H2(13),C[CH2]+[H]_C=C+[H][H]
180,180,C2H5(43) + O2(2) <=> C2H4(11) + HO2(16),C[CH2]+[O][O]_C=C+[O]O
181,181,C2H5(43) + O2(2) <=> C2H4(11) + HO2(16),C[CH2]+[O][O]_C=C+[O]O
182,182,CH2CO(24) + CH3(18) <=> C2H5(43) + CO(6),C=C=O+[CH3]_C[CH2]+[C-]#[O+]
183,183,C3H6(12) + O(5) <=> C2H5(43) + HCO(19),C=CC+[O]_C[CH2]+[CH]=O
184,184,C2H5(43) + O(5) <=> CH2O(9) + CH3(18),C[CH2]+[O]_C=O+[CH3]
185,185,C2H5(43) + O(5) <=> C2H4(11) + OH(15),C[CH2]+[O]_C=C+[OH]
186,186,C2H5(43) + C5H11(421) <=> C7H16(1),C[CH2]+[CH2]CCCC_CCCCCCC
187,187,C2H5(43) <=> CH2(23) + CH3(18),C[CH2]_[CH2]+[CH3]
188,188,PC4H9(183) <=> C2H4(11) + C2H5(43),[CH2]CCC_C=C+C[CH2]
189,189,C5H11(421) <=> CH2(23) + PC4H9(183),[CH2]CCCC_[CH2]+[CH2]CCC
190,190,NC3H7(92) + O2(2) <=> C3H6(12) + HO2(16),[CH2]CC+[O][O]_C=CC+[O]O
191,191,C3H6(12) + H(14) <=> NC3H7(92),C=CC+[H]_[CH2]CC
192,192,C2H4(11) + CH3(18) <=> NC3H7(92),C=C+[CH3]_[CH2]CC
193,193,C5H11(421) <=> C2H4(11) + NC3H7(92),[CH2]CCCC_C=C+[CH2]CC
194,194,NC3H7(92) + PC4H9(183) <=> C7H16(1),[CH2]CC+[CH2]CCC_CCCCCCC
195,195,CH2(23) + HO2(16) <=> CH3(18) + O2(2),[CH2]+[O]O_[CH3]+[O][O]
196,196,CH2CHO(21) <=> CH2(23) + HCO(19),[CH2]C=O_[CH2]+[CH]=O
197,197,CH2CHO(21) <=> C2H3(22) + O(5),[CH2]C=O_[CH]=C+[O]
198,198,CH2CHO(21) <=> CH3CO(20),[CH2]C=O_C[C]=O
199,199,PC4H9(183) <=> CH2(23) + NC3H7(92),[CH2]CCC_[CH2]+[CH2]CC
200,200,NC3H7(92) <=> C2H5(43) + CH2(23),[CH2]CC_C[CH2]+[CH2]
201,201,C5H11(421) <=> C5H11(422),[CH2]CCCC_C[CH]CCC
202,202,C5H11(422) <=> C3H6(12) + C2H5(43),C[CH]CCC_C=CC+C[CH2]
203,203,PC4H9(183) + O2(2) <=> S(185),[CH2]CCC+[O][O]_CCCCO[O]
204,204,NC3H7(92) + O2(2) <=> C3H7O2(95),[CH2]CC+[O][O]_CCCO[O]
205,205,C3H7O2(95) <=> C3H6(12) + HO2(16),CCCO[O]_C=CC+[O]O
206,206,C2H5(43) + O2(2) <=> C2H5O2(44),C[CH2]+[O][O]_CCO[O]
207,207,C2H5O2(44) <=> C2H4(11) + HO2(16),CCO[O]_C=C+[O]O
208,208,C5H11(421) + O2(2) <=> S(436),[CH2]CCCC+[O][O]_CCCCCO[O]
209,209,C2H5(43) + O2(2) <=> C2H4O(49) + OH(15),C[CH2]+[O][O]_C1CO1+[OH]
210,210,C2H5O2(44) <=> C2H4O(49) + OH(15),CCO[O]_C1CO1+[OH]
211,211,C2H4O(49) <=> CH3(18) + HCO(19),C1CO1_[CH3]+[CH]=O
212,212,C2H4(11) + HO2(16) <=> C2H4O(49) + OH(15),C=C+[O]O_C1CO1+[OH]
213,213,S(436) <=> S(443),CCCCCO[O]_CC[CH]CCOO
214,214,C7H15(682) + H(14) <=> C7H16(1),C[CH]CCCCC+[H]_CCCCCCC
215,215,C7H15(682) + HO2(16) <=> C7H16(1) + O2(2),C[CH]CCCCC+[O]O_CCCCCCC+[O][O]
216,216,C7H16(1) + O(5) <=> C7H15(682) + OH(15),CCCCCCC+[O]_C[CH]CCCCC+[OH]
217,217,C7H16(1) + OH(15) <=> C7H15(682) + H2O(8),CCCCCCC+[OH]_C[CH]CCCCC+O
218,218,C7H15(682) + H2O2(17) <=> C7H16(1) + HO2(16),C[CH]CCCCC+OO_CCCCCCC+[O]O
219,219,C2H5(43) + C7H15(682) <=> C2H4(11) + C7H16(1),C[CH2]+C[CH]CCCCC_C=C+CCCCCCC
220,220,C7H16(1) + H(14) <=> C7H15(682) + H2(13),CCCCCCC+[H]_C[CH]CCCCC+[H][H]
221,221,C7H16(1) + CH3(18) <=> CH4(10) + C7H15(682),CCCCCCC+[CH3]_C+C[CH]CCCCC
222,222,C7H15(682) + NC3H7(92) <=> C3H6(12) + C7H16(1),C[CH]CCCCC+[CH2]CC_C=CC+CCCCCCC
223,223,C3H6(12) + PC4H9(183) <=> C7H15(682),C=CC+[CH2]CCC_C[CH]CCCCC
224,224,C7H15(682) + O2(2) <=> S(763),C[CH]CCCCC+[O][O]_CCCCCC(C)O[O]
225,225,S(185) <=> S(220),CCCCO[O]_C[CH]CCOO
226,226,S(220) => C3H6(12) + CH2O(9) + OH(15),C[CH]CCOO_C=CC+C=O+[OH]
227,227,C5H11(422) + O2(2) <=> S(438),C[CH]CCC+[O][O]_CCCC(C)O[O]
228,228,S(436) <=> S(444),CCCCCO[O]_C[CH]CCCOO
229,229,S(443) <=> S(444),CC[CH]CCOO_C[CH]CCCOO
230,230,C7H15(679) + H(14) <=> C7H16(1),CC[CH]CCCC+[H]_CCCCCCC
231,231,C7H15(679) + HO2(16) <=> C7H16(1) + O2(2),CC[CH]CCCC+[O]O_CCCCCCC+[O][O]
232,232,C7H16(1) + O(5) <=> C7H15(679) + OH(15),CCCCCCC+[O]_CC[CH]CCCC+[OH]
233,233,C7H16(1) + OH(15) <=> C7H15(679) + H2O(8),CCCCCCC+[OH]_CC[CH]CCCC+O
234,234,C7H15(679) + H2O2(17) <=> C7H16(1) + HO2(16),CC[CH]CCCC+OO_CCCCCCC+[O]O
235,235,C7H15(679) + C2H5(43) <=> C2H4(11) + C7H16(1),CC[CH]CCCC+C[CH2]_C=C+CCCCCCC
236,236,C7H16(1) + H(14) <=> C7H15(679) + H2(13),CCCCCCC+[H]_CC[CH]CCCC+[H][H]
237,237,C7H16(1) + CH3(18) <=> CH4(10) + C7H15(679),CCCCCCC+[CH3]_C+CC[CH]CCCC
238,238,C7H15(679) + NC3H7(92) <=> C3H6(12) + C7H16(1),CC[CH]CCCC+[CH2]CC_C=CC+CCCCCCC
